dname1,date,value,unit
牡蠣,112,94,元/公斤
牡蠣,111,89.9,元/公斤
牡蠣,110,88,元/公斤
牡蠣,109,100.2,元/公斤
牡蠣,108,106.1,元/公斤
牡蠣,107,108.7,元/公斤
牡蠣,106,108,元/公斤
牡蠣,105,116.3,元/公斤
牡蠣,104,108.3,元/公斤
文蛤,112,93.4,元/公斤
文蛤,111,99.3,元/公斤
文蛤,110,98.9,元/公斤
文蛤,109,97.1,元/公斤
文蛤,108,100.4,元/公斤
文蛤,107,107.7,元/公斤
文蛤,106,80.1,元/公斤
文蛤,105,65.9,元/公斤
文蛤,104,59.2,元/公斤
白蝦,112,217.8,元/公斤
白蝦,111,213.1,元/公斤
白蝦,110,201.4,元/公斤
白蝦,109,202.6,元/公斤
白蝦,108,199.6,元/公斤
白蝦,107,189.8,元/公斤
白蝦,106,185,元/公斤
白蝦,105,187,元/公斤
白蝦,104,190.9,元/公斤
班節蝦,112,850.5,元/公斤
班節蝦,111,757.8,元/公斤
班節蝦,110,898.8,元/公斤
班節蝦,109,859.6,元/公斤
班節蝦,108,811.3,元/公斤
班節蝦,107,657.3,元/公斤
班節蝦,106,815.8,元/公斤
班節蝦,105,694,元/公斤
班節蝦,104,666.5,元/公斤
透抽,112,218.4,元/公斤
透抽,111,216.6,元/公斤
透抽,110,214.1,元/公斤
透抽,109,211.3,元/公斤
透抽,108,188.1,元/公斤
透抽,107,190.3,元/公斤
透抽,106,185.5,元/公斤
透抽,105,167.3,元/公斤
透抽,104,162.9,元/公斤
旗魚(黑皮旗),112,152.7,元/公斤
旗魚(黑皮旗),111,145.7,元/公斤
旗魚(黑皮旗),110,134.6,元/公斤
旗魚(黑皮旗),109,120.7,元/公斤
旗魚(黑皮旗),108,135.2,元/公斤
旗魚(黑皮旗),107,136.5,元/公斤
旗魚(黑皮旗),106,145.2,元/公斤
旗魚(黑皮旗),105,142.5,元/公斤
旗魚(黑皮旗),104,127.6,元/公斤
鮪魚(黃鰭鮪),112,184.3,元/公斤
鮪魚(黃鰭鮪),111,229.3,元/公斤
鮪魚(黃鰭鮪),110,174.7,元/公斤
鮪魚(黃鰭鮪),109,154.7,元/公斤
鮪魚(黃鰭鮪),108,177.6,元/公斤
鮪魚(黃鰭鮪),107,210.9,元/公斤
鮪魚(黃鰭鮪),106,196.6,元/公斤
鮪魚(黃鰭鮪),105,184.9,元/公斤
鮪魚(黃鰭鮪),104,186.4,元/公斤
鯖魚,112,23,元/公斤
鯖魚,111,22.6,元/公斤
鯖魚,110,22.4,元/公斤
鯖魚,109,27.1,元/公斤
鯖魚,108,28.3,元/公斤
鯖魚,107,25.1,元/公斤
鯖魚,106,22,元/公斤
鯖魚,105,21.3,元/公斤
鯖魚,104,23.1,元/公斤
白帶魚,112,121.8,元/公斤
白帶魚,111,126.6,元/公斤
白帶魚,110,122.8,元/公斤
白帶魚,109,122.3,元/公斤
白帶魚,108,105.8,元/公斤
白帶魚,107,116.7,元/公斤
白帶魚,106,137.1,元/公斤
白帶魚,105,102.7,元/公斤
白帶魚,104,118.1,元/公斤
烏仔魚,112,53.7,元/公斤
烏仔魚,111,57.4,元/公斤
烏仔魚,110,55.4,元/公斤
烏仔魚,109,64.1,元/公斤
烏仔魚,108,75.6,元/公斤
烏仔魚,107,55.6,元/公斤
烏仔魚,106,55.1,元/公斤
烏仔魚,105,63,元/公斤
烏仔魚,104,64.2,元/公斤
肉魚,112,219.6,元/公斤
肉魚,111,179.1,元/公斤
肉魚,110,177.9,元/公斤
肉魚,109,204,元/公斤
肉魚,108,200.5,元/公斤
肉魚,107,209.5,元/公斤
肉魚,106,194.8,元/公斤
